ResponseID,P1_name,P2_name,P3_name,P4_name,P5_name,P1_type,P2_type,P3_type,P4_type,P5_type
R_89A54FmwL61cPyc,DK3,AC3,Ksc22,,,2,2,2,,
R_1UFzdvyENh4hiXO,,,,,,,,,,
R_5LXeDgGrizWv5rx,Ksc 11,,,,,3,,,,
R_dHHwz5zuYhQg7Sv,,,,,,,,,,
R_3kkVmARLqJFYKnq,,,,,,,,,,
R_6jf094xb4jEwvOk,,,,,,,,,,
R_7wLbqEn3BjuDtUo,,,,,,,,,,
R_eeLnYmWvBUnkKHf,,,,,,,,,,
R_bryzIcC07u4Qrb9,,,,,,,,,,
R_cYmashO2WRTReyc,,,,,,,,,,
R_hVOHSDre8Rakpoh,,,,,,,,,,
R_jPqldMziErk91O3,,,,,,,,,,
R_1Lq2Xi5dHHSfdTU,,,,,,,,,,
R_526LDQ2cSJJFijS,,,,,,,,,,
R_07zJ6dF51m2mdMm,,,,,,,,,,
R_bYCYswXNr0NwAH4,dk4,,,,,3,,,,
R_l58nM0ddLd28P4j,1,,,,,,,,,
R_4NGTSDKFl7Gli4i,,,,,,,,,,
R_fR97TYUdxk4PkKS,,,,,,,,,,
R_cRbQfHBVjG8NkEq,,,,,,,,,,
R_1FGbWz8jvyeasBT,,,,,,,,,,
R_gMUXu9TqE9tyNrl,,,,,,,,,,
R_4QFRKv6fN88dg8S,,,,,,,,,,
R_8vzhjB1J0hDXVia,,,,,,,,,,
R_2joIz9U0z49zH8k,Ksc22,Local,,,,2,,,,
R_mMtw2UiZcRGolIw,,,,,,,,,,
R_1tvPcszqy7qkDEA,,,,,,,,,,
R_aSUnHlzFMlRqdcE,,,,,,,,,,
R_633C4BAqBx3NqoR,,,,,,,,,,
R_mpSbGgm5TBlATdO,,,,,,,,,,
R_f5u93bmulZl13lw,,,,,,,,,,
R_j7aRWQ7L4UGjb08,,,,,,,,,,
R_hUHxv91xM97ay4P,,,,,,,,,,
R_mZlZ4fG7c8tGv1e,,,,,,,,,,
R_kHyzZ4Aivdw5yDW,,,,,,,,,,
R_8cFbGwIQ9swh5Pt,,,,,,,,,,
R_mZFct4jH46Vg6q0,,,,,,,,,,
R_hSNUCUsuJivMcPr,,,,,,,,,,
R_hWnQ4143cDRVL9K,,,,,,,,,,
R_6PAhRtIox5MtAXb,,,,,,,,,,
R_ftyM53t3O6gjbxf,,,,,,,,,,
R_97kGCY07zp822do,,,,,,,,,,
R_j9rhIYFuZVtURbE,,,,,,,,,,
R_md5A9ADPwkRTARz,,,,,,,,,,
R_mpFPy63a91Bf9Fy,,,,,,,,,,
R_1ICGXqHL1NgQYIa,,,,,,,,,,
R_6mgDikI4riAG3nw,,,,,,,,,,
R_1KtXCRqMAT1Mczg,,,,,,,,,,
R_nwH2qxgPC6Y6Gbh,,,,,,,,,,
R_bXigQFYs9ouAQe2,,,,,,,,,,
R_2E2631qY7p0lXJc,,,,,,,,,,
R_1f20mhBpetSNGOT,,,,,,,,,,
R_78kLWKdJiOnXkAI,,,,,,,,,,
R_hUC8PrMls6UV7Si,,,,,,,,,,
R_f9z5DSlOksMCFWo,recycled,,,,,,,,,
R_hbysBMY2GEZojqy,,,,,,,,,,
R_mebUcn9rmD1w3Cp,,,,,,,,,,
R_ocHsTMhiBKW6obp,,,,,,,,,,
R_55tO6hHbgb7du4i,,,,,,,,,,
R_5pLkBg3HU0tj54e,,,,,,,,,,
R_l4ONSzu9H9fZ6e4,,,,,,,,,,
R_0ZTzFEM0BOhKddt,,,,,,,,,,
R_kZzjaUJFxj3ljvN,DK4,AC3,,,,2,2,,,
R_fgcvgVmN7eWRzmX,KSC22 ,,,,,2,,,,
R_erjat5zLxLukxR2,,,,,,,,,,
R_gHtcEtWPDj1VsnE,,,,,,,,,,
R_4T70GkODDY2mY2j,,,,,,,,,,
R_0tfBAfzPOMPLVLK,,,,,,,,,,
R_nOTWrDgzTKc0nAX,,,,,,,,,,
R_6ymHF7yrvoE88D7,,,,,,,,,,
R_j5lSsNrOCHJTp0m,,,,,,,,,,
R_nqwy1bpdzSBN2I5,,,,,,,,,,
R_ocWhrQhUsOpyT9e,,,,,,,,,,
